day_in_month_sin,calendar_week_sin,weekday_sin,dayofyear_sin,month_sin,day_in_month_cos,calendar_week_cos,weekday_cos,dayofyear_cos,month_cos,nb_days_since_last_survey,Datum_dt,CDU_CSU,SPD,GRUENE,FDP,LINKE,PIRATEN,AfD,Linke_PDS,PDS,REP_DVU,Sonstige
0.9510565162951536,0.970941817426052,0.0,0.9209712877166346,1.0,-0.30901699437494734,0.23931566428755804,1.0,0.38963044953078796,6.123233995736766e-17,3,2015-03-09,42.0,24.0,12.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,6.0
0.5877852522924732,0.970941817426052,0.43388373911755823,0.9398560579418954,1.0,-0.8090169943749473,0.23931566428755804,-0.900968867902419,0.3415707691678556,6.123233995736766e-17,3,2015-03-12,37.0,25.0,11.0,4.0,8.0,0.0,10.0,0.0,0.0,0.0,5.0
0.40673664307580004,0.970941817426052,-0.433883739117558,0.9455963874271426,1.0,-0.913545457642601,0.23931566428755804,-0.9009688679024191,0.3253420847119801,6.123233995736766e-17,1,2015-03-13,41.0,24.0,11.0,4.0,9.0,0.0,6.0,0.0,0.0,0.0,5.0
-0.9510565162951536,0.8854560256532099,-0.433883739117558,0.9242907221930934,0.8660254037844388,0.30901699437494723,-0.4647231720437685,-0.9009688679024191,-0.3816892202666588,-0.4999999999999998,42,2015-04-24,41.0,24.0,11.0,4.0,8.0,0.0,6.0,0.0,0.0,0.0,6.0
0.40673664307580015,0.8229838658936566,-0.9749279121818235,0.8631421280499114,0.49999999999999994,0.9135454576426009,-0.5680647467311556,-0.2225209339563146,-0.5049610547215203,-0.8660254037844387,8,2015-05-02,41.0,25.0,10.0,3.0,9.0,0.0,6.0,0.0,0.0,0.0,6.0
0.5877852522924731,0.8229838658936566,-0.7818314824680299,0.8543221697498271,0.49999999999999994,0.8090169943749475,-0.5680647467311556,0.6234898018587334,-0.5197438121555154,-0.8660254037844387,1,2015-05-03,41.0,25.0,10.0,4.0,9.0,0.0,6.0,0.0,0.0,0.0,5.0
0.7431448254773945,0.6631226582407952,0.0,0.7748840413670407,0.49999999999999994,-0.6691306063588579,-0.7485107481711012,1.0,-0.6321034111873486,-0.8660254037844387,8,2015-05-11,37.0,24.0,11.0,5.0,9.0,0.0,8.0,0.0,0.0,0.0,6.0
-0.9510565162951535,0.5680647467311558,0.43388373911755823,0.6551563572090853,0.49999999999999994,-0.30901699437494756,-0.8229838658936564,-0.900968867902419,-0.7554933140726803,-0.8660254037844387,10,2015-05-21,41.0,26.0,9.0,5.0,9.0,0.0,5.0,0.0,0.0,0.0,5.0
-0.743144825477394,0.12053668025532308,-0.433883739117558,0.21352091543979612,1.2246467991473532e-16,-0.6691306063588585,-0.992708874098054,-0.9009688679024191,-0.9769384927771817,-1.0,29,2015-06-19,40.0,25.0,10.0,5.0,10.0,0.0,5.0,0.0,0.0,0.0,5.0
0.8660254037844386,-0.12053668025532283,-0.7818314824680299,-0.060213277365792774,-0.4999999999999998,0.5000000000000001,-0.992708874098054,0.6234898018587334,-0.9981855344718586,-0.8660254037844388,16,2015-07-05,40.0,25.0,10.0,4.0,9.0,0.0,6.0,0.0,0.0,0.0,6.0
-0.4067366430758002,-0.3546048870425356,-0.433883739117558,-0.26366549272800727,-0.4999999999999998,-0.9135454576426009,-0.9350162426854148,-0.9009688679024191,-0.9646141756912435,-0.8660254037844388,12,2015-07-17,41.0,24.0,11.0,6.0,9.0,0.0,4.0,0.0,0.0,0.0,5.0
-1.133107779529596e-15,-0.5680647467311556,0.43388373911755823,-0.471159507673864,-0.4999999999999998,1.0,-0.8229838658936566,-0.900968867902419,-0.8820480249558535,-0.8660254037844388,13,2015-07-30,42.0,24.0,11.0,5.0,9.0,0.0,4.0,0.0,0.0,0.0,5.0
0.20791169081775931,-0.5680647467311556,-0.9749279121818235,-0.5012418134457756,-0.8660254037844384,0.9781476007338057,-0.8229838658936566,-0.2225209339563146,-0.8653072543632061,-0.5000000000000004,2,2015-08-01,41.0,26.0,10.0,3.0,8.0,0.0,6.0,0.0,0.0,0.0,6.0
0.2079116908177593,-0.7485107481711011,-0.433883739117558,-0.680773409477016,-0.8660254037844384,-0.9781476007338057,-0.6631226582407952,-0.9009688679024191,-0.732494071613579,-0.5000000000000004,13,2015-08-14,42.0,24.0,11.0,4.0,9.0,0.0,4.0,0.0,0.0,0.0,6.0
-0.9945218953682734,-0.8854560256532101,-0.433883739117558,-0.9275416835791965,-0.8660254037844386,0.104528463267653,0.464723172043768,-0.9009688679024191,0.3737197147904692,0.5,70,2015-10-23,38.0,24.0,11.0,5.0,9.0,0.0,8.0,0.0,0.0,0.0,5.0
0.9510565162951536,-0.6631226582407955,0.0,-0.780295851070776,-0.5000000000000004,-0.30901699437494734,0.7485107481711009,1.0,0.6254105729852457,0.8660254037844384,17,2015-11-09,42.0,25.0,11.0,4.0,9.0,0.0,4.0,0.0,0.0,0.0,5.0
